,Binary Balanced 1,Binary Balanced 2,Binary Extreme 1a,Binary Extreme 1b,Binary Extreme 2,Trinary Balanced 1,Trinary Balanced 2,Trinary Skewed 1a,Trinary Skewed 1b,Trinary Skewed 2,Trinary Extreme 1a,Trinary Extreme 1b,Trinary Extreme 2,Quaternary Balanced 1,Quaternary Balanced 2,Quaternary Skewed 1a,Quaternary Skewed 1b,Quaternary Skewed 2,Quaternary Extreme 1a,Quaternary Extreme 1b,Quaternary Extreme 2,Continuous Normal,Continuous Skewed,Continuous Binary Normal 1,Continuous Binary Normal 2,Continuous Trinary Normal,Continuous Quaternary Normal,Continuous Binary Skewed,Continuous Trinary Skewed,Continuous Quaternary Skewed,Unary 1,Unary 2,Correlated 1,Correlated 2
10,A,C,E,H,I,B,E,A,D,H,A,D,H,C,F,H,L,P,H,L,Q,0.026140293159267428,0.02356040202640689,0.9911202058411678,2.0027302777454037,2.062397702745008,3.1014738513311495,0.7993554698740019,3.9228336911135906,8.559374478036306,-7.573566330021809,-80.87273330275096,10,9
11,B,D,E,H,I,C,F,A,D,H,A,D,I,D,G,H,L,P,H,L,R,0.06809504949551427,0.027873862465342843,5.003081878944608,9.991696239634942,2.814721479061631,4.02092690984153,2.815220026793132,10.29297590009235,15.161730487038021,-22.41542405718211,-3.8170314150129165,11,10
12,A,C,E,H,I,A,D,A,D,H,A,D,H,A,D,H,L,P,H,L,P,-0.2615271380537488,0.004213790912049229,0.9885062583317668,1.9861114692212904,0.9588705617218685,0.7959176782864901,0.579161457787972,0.7320598673721904,1.0438545435090596,-14.78530941009684,-66.66362815447971,12,11
13,B,D,E,H,I,B,E,A,D,H,A,D,I,B,E,H,L,P,H,L,Q,-0.05087422462012501,0.0035630621162714583,4.996625740737643,9.976491466235041,2.0302109052751276,1.9815348053552533,3.920110348481364,3.5248119910569575,4.831268215236657,-10.291936184127119,-35.28917429332821,13,12
14,A,C,E,H,I,C,F,A,D,H,A,D,H,C,F,H,L,P,H,L,R,0.12869142266498687,0.01667839743151539,1.009732168718849,2.0059429621300637,3.0323150079043164,3.0792136296354538,0.6907947443643555,8.331908010603586,8.613081323728094,10.147990432511019,20.39699370498753,14,14
15,B,D,E,H,I,A,D,A,D,H,A,D,I,D,G,H,L,P,H,L,P,0.130244401505442,0.007950256516689484,5.000328790281556,9.996775817256685,1.0369931466834863,3.9010695862794846,3.5691849508686206,0.8599585059603877,16.386051702084586,-10.182340471441847,-29.906377524071246,15,14
16,A,C,E,H,I,B,E,A,D,H,A,D,H,A,D,H,L,P,H,L,Q,-0.08352679132601482,0.003271771371931477,1.0118903775124053,2.005237397354411,1.9324377992745196,0.9670291983247116,0.8451536440035968,4.633940170291832,1.2489918543316734,-7.945726758881333,1.2086629041218515,16,16
17,B,D,E,H,I,C,F,A,D,H,A,D,I,B,E,H,L,P,H,L,R,-0.0028063506288400404,0.03351745562242577,4.9976614905730665,9.990196792911197,3.0018991405549342,2.006753257280232,4.000319982399824,8.142852475363226,4.027490215745301,-6.367572613977132,-32.156567633223005,17,16
18,A,C,E,H,I,A,D,A,D,H,A,D,H,C,F,H,L,P,H,L,P,0.0050112713840956705,1.0307360625021525e-05,1.0057113819363273,1.9986693874185497,0.9312340137047501,3.0522596306502945,1.3667214186233843,0.9927994745072842,10.00042007012959,-6.406983513628485,-60.25918869645306,18,17
19,B,D,E,H,I,B,E,A,D,H,A,D,I,D,G,H,L,P,H,L,Q,-0.0069377679097317214,0.0018537743329567569,4.983912853470986,10.006204293710908,2.121024576600356,3.969861358812338,3.986817016732988,3.4250858886885553,16.80321263748163,-11.226554617931898,-30.51057541866397,19,19
20,A,C,E,H,I,C,F,A,D,H,A,D,H,A,D,H,L,P,H,L,R,-0.055121290337281914,0.002650177314636887,0.9999897235860323,1.991702429990468,2.9787014797137576,1.0109839108374745,0.9933416259676932,8.881232973176289,0.9715781743873123,-19.250263774432646,-15.472969805096783,20,20
21,B,D,E,H,I,A,D,A,D,H,A,D,I,B,E,H,L,P,H,L,P,-0.03502615995526455,0.006097755688545002,4.980050520970068,9.998987122756336,0.9740101553582117,1.9410557121005911,3.4600650357500764,1.0897954285620486,4.263966179398758,-5.39155453204922,9.885192753119995,21,20
22,A,C,E,H,I,B,E,A,D,H,A,D,H,C,F,H,L,P,H,L,Q,0.1284653722420035,0.0008483297748050209,1.0073332216233515,1.9961124712943534,2.06793177125081,2.99255720472548,0.8455850421349157,4.103813937895542,9.856482966200634,-7.877544639581974,-54.804376328671,22,21
23,B,D,E,H,I,C,F,A,D,H,A,D,I,D,G,H,L,P,H,L,R,-0.16056529772147846,5.3806883599292e-05,4.99708155807587,9.996551539524832,2.9636982820245863,3.9544723664684,3.9499424236979452,8.55323852727439,15.349835141671846,-17.92098133849432,3.5029861619712186,23,22
24,A,C,E,H,I,A,D,A,D,H,A,D,H,A,D,H,L,P,H,L,P,-0.08048732984785335,0.005675617542478204,0.9904561572237224,1.993873259031732,1.1670051517531994,1.0808558417333785,0.9298400678871932,0.7692138027996864,0.8926802733441996,-19.44940050684965,-24.555879704602695,24,24
25,B,D,E,H,I,B,E,A,D,H,A,D,I,B,E,H,L,P,H,L,Q,-0.09938292582980664,0.0006558700290854202,4.991179221583447,10.002756408845565,2.0952103968202365,2.053202633636481,4.800036992551011,5.052646404312167,3.9616775242302076,-28.185713978830336,-1.5304831073184175,25,24
26,A,C,E,H,I,C,F,A,D,H,A,D,H,C,F,H,L,P,H,L,R,-0.1390702234314827,0.000666789688263318,0.9861956110484518,1.9986453993994595,2.966238627353195,3.0525462355765867,0.9332227373989124,8.875446303874087,8.475448057970501,-23.07008487222089,-28.551230129948493,26,26
27,B,D,E,H,I,A,D,A,D,H,A,D,I,D,G,H,L,P,H,L,P,0.04561340852886819,0.036376916671832335,5.0072348418064445,9.994450209121219,1.1981708598475376,3.997656336982039,3.3809210425614573,1.098131471795542,16.498276235900274,-12.38702393291026,-45.31768060787029,27,27
28,A,C,E,H,I,B,E,A,D,H,A,D,H,A,D,H,L,P,H,L,Q,0.0025225895497705117,0.0017544533761506642,1.0087181171835444,1.9896939734726056,2.0115685228057596,1.16281400561376,0.9381900514365408,3.782451770537671,1.1884416876854642,-4.010702095882439,-21.273182034647924,28,28
29,B,D,E,H,I,C,F,A,D,H,A,D,I,B,E,H,L,P,H,L,R,0.1452299692599086,0.029058267921981507,4.986344643520198,9.993496875027988,2.850092290426524,2.2165559079014034,3.697034717672205,8.247282638891052,4.249657598366504,-2.507538632933607,-8.346708743729174,29,28
30,A,C,E,H,I,A,D,A,D,H,A,D,H,C,F,H,L,P,H,L,P,0.01955366111346121,0.007397711170391537,1.0078086982836745,1.991663631098285,0.9182661247183264,2.9802902723214793,0.7965829261005898,0.5939178574643993,9.425314744094113,-5.62030535154387,-72.05264622432645,30,29
31,B,D,E,H,I,B,E,A,D,H,A,D,I,D,G,H,L,P,H,L,Q,0.1049750904529768,0.001864012184922671,5.000680147315139,10.009764901830506,1.9911704863594208,3.866379953707878,3.528066115352847,3.374720604841645,17.12367133650203,-20.089719680609658,-29.76586191391855,31,30
32,A,C,E,H,I,C,F,A,D,H,A,D,H,A,D,H,L,P,H,L,R,0.0021120779238024273,0.005000052981062724,1.013704946709873,1.98044362532907,3.137163062182703,0.9288066401055637,1.4690930964921214,8.31134829795952,0.9089808138863099,-4.279941528648667,-21.874899989834077,32,32
33,B,D,E,H,I,A,D,A,D,H,A,D,I,B,E,H,L,P,H,L,P,0.058821401794163425,0.01777213657947388,5.011914633601124,10.004110035536236,1.0111625673360578,1.992139585094175,4.485853499590453,0.9152223902651975,4.248988163137594,-20.78008692594968,-14.778197071851501,33,32
34,A,C,E,H,I,B,E,A,D,H,A,D,H,C,F,H,L,P,H,L,Q,0.08450673584049757,0.04351216794077789,0.9880283975639117,1.9928842348463551,1.949158591466208,2.9446242237778826,1.16252660560447,3.245873147192601,9.674926015416442,-16.264654409590342,-37.99208781525576,34,34
35,B,D,E,H,I,C,F,A,D,H,A,D,I,D,G,H,L,P,H,L,R,0.03453604207332988,0.01210262757664371,4.9886899593649074,10.001647685489443,3.1282604346324416,4.128362482993971,3.818913242392209,8.790309517312163,15.457251941158393,-3.8211052826474736,-42.1918217660075,35,35
36,A,C,E,H,I,A,D,A,D,H,A,D,H,A,D,H,L,P,H,L,P,-0.07582005096053734,0.0355413663545578,0.983035308313067,2.0158895613777053,0.8673519033254775,1.0424040705443995,1.0735091394078304,0.5789972365167964,1.003674753266155,-1.5192417109616727,-8.575525408405715,36,35
37,B,D,E,H,I,B,E,A,D,H,A,D,I,B,E,H,L,P,H,L,Q,0.13093157861740923,7.18468078796408e-05,4.983853282961572,9.99897385333219,1.863876625517091,2.0040974099458633,4.194920786882677,4.155061650939606,3.5106698768416362,-16.325195714320415,-24.460751002247758,37,36
38,A,C,E,H,I,C,F,A,D,H,A,D,H,C,F,H,L,P,H,L,R,-0.05820300945863693,0.001246950195639346,0.9977202864033125,2.000409536812373,3.1133782708406095,2.9049840440542187,1.0799320457355799,8.931264127632149,9.206569184897306,-16.1235320262968,-7.422136500845713,38,38
39,B,D,E,H,I,A,D,A,D,H,A,D,I,D,G,H,L,P,H,L,P,0.014430443687239367,0.013203525406484297,4.995688565153127,10.005995985114737,0.9287602907688681,3.925430118935555,4.083271858916044,0.7574016172684308,16.623101212709127,18.079593355299096,-48.26417378620146,39,38
40,A,C,E,H,I,B,E,A,D,H,A,D,H,A,D,H,L,P,H,L,Q,0.019889544153794885,0.009070822398724063,1.0016067518321468,2.000290502550361,2.013288449000484,1.0086065092979126,1.288133562405903,3.9630659669457247,0.7047556036786935,-0.4975215942266953,20.193231432163785,40,39
41,B,D,E,H,I,C,F,A,D,H,A,D,I,B,E,H,L,P,H,L,R,-0.01663572820736751,0.010942979468126517,5.0089640376138185,10.001293158489425,3.0358262401811498,1.9838893421767714,3.1992412154741956,7.988736799761199,3.113855112708695,-15.452226425023623,-42.204609978904784,41,41
42,A,C,E,H,I,A,D,A,D,H,A,D,H,C,F,H,L,P,H,L,P,-0.0007514044236846323,0.0001485588851142898,1.006117308012229,1.9833161163918553,1.0691977625720783,2.9654936365414817,0.7347131647906175,0.8156652740004029,9.501178330691346,-22.499395859058602,-49.570860400254844,42,41
43,B,D,E,H,I,B,E,A,D,H,A,D,I,D,G,H,L,P,H,L,Q,-0.022603567168394026,0.010834977740646711,5.008098847476353,10.007057971705857,1.8371551691965342,3.792366477659338,3.973980245060069,4.070110024101421,15.793297946052066,-15.0853052169214,-28.581148543747783,43,42
44,A,C,E,H,I,C,F,A,D,H,A,D,H,A,D,H,L,P,H,L,R,-0.1026263639514178,0.004650989885011666,0.9989771743765761,2.004588150013408,3.117342758628681,0.967717722302599,0.9612516097194361,9.500688410403965,0.9416708238454145,-11.220051231699529,-46.672786229865764,44,43
45,B,D,E,H,I,A,D,A,D,H,A,D,I,B,E,H,L,P,H,L,P,-0.11555783879713546,0.0014846925870957786,4.996469965019468,9.996448141486214,0.9577495489513318,2.1591188250498914,3.6319515387764536,1.2148451305201413,4.243592227021535,-1.1567602025635537,-2.627234787159388,45,44
46,A,C,E,H,I,B,E,A,D,H,A,D,H,C,F,H,L,P,H,L,Q,-0.1629722171328995,0.02076234811139257,0.9972889294204788,1.9977976909292983,2.09018488020485,2.9613144037459445,1.0155656957060006,3.8591656571226287,8.410658664846668,-18.764165650216476,-4.077999861852664,46,46
47,B,D,E,H,I,C,F,A,D,H,A,D,I,D,G,H,L,P,H,L,R,0.10265588465089628,0.0002053424978748744,5.013934199980069,9.988783870581711,3.0903576306449136,4.059677182617826,3.287888836978626,9.731357539678987,17.074592301255326,0.29877735950313067,-7.723485449665224,47,47
48,A,C,E,H,I,A,D,A,D,H,A,D,H,A,D,H,L,P,H,L,P,-0.11634837013974003,0.02818493985465037,1.0129355277550998,2.003378282507198,1.1192725275076738,1.1112573198674491,0.9906271730374873,0.6375655783691485,1.230748652917494,-19.221949772041697,-18.957261615820236,48,48
49,B,D,E,H,I,B,E,A,D,H,A,D,I,B,E,H,L,P,H,L,Q,0.08223269775766967,0.00810858828960551,4.994913840473233,10.005347882414604,2.1061641762202306,2.018424992091783,3.732573091414905,3.9938692720227773,3.4808868436350386,-0.9288849860915569,-36.94728133993366,49,49
50,A,C,E,H,I,C,F,A,D,H,A,D,H,C,F,H,L,P,H,L,R,0.036479258600058295,0.050088656376244975,0.9932839089836287,1.9950918766455805,3.0096698483047666,2.9324491060885163,0.885805736317983,9.146846941256497,8.090247077702958,-5.60696805557067,16.25567527448876,50,50
51,B,D,E,H,I,A,D,A,D,H,A,D,I,D,G,H,L,P,H,L,P,0.22196554027893753,0.0019544724306289223,5.0038149108931425,9.992746034364284,0.7270607423318568,3.920059262242616,3.794821016595018,1.292260491570558,16.74269088001242,-13.936410049849467,2.6452378189149712,51,51
52,A,C,E,H,I,B,E,A,D,H,A,D,H,A,D,H,L,P,H,L,Q,0.08364330913218943,0.005552812883659648,0.9749345795254951,2.0058209240910894,2.0583671505137815,0.9910522313255625,1.2258599160022816,4.123146858038227,0.7765363057144506,-6.468704389687857,-23.938270130305806,52,51
53,B,D,E,H,I,C,F,A,D,H,A,D,I,B,E,H,L,P,H,L,R,0.012905650258268665,0.004944052165768441,5.014278943179248,10.001249557403305,2.9613751843547584,1.8914360158609287,3.9241354972416134,8.313690626419362,3.4356630037771874,-15.784538027458954,-25.863980384250482,53,53
54,A,C,E,H,I,A,D,A,D,H,A,D,H,C,F,H,L,P,H,L,P,0.008669602287654022,0.00857484553514674,1.0073890762691247,1.9893973333231911,1.1113848786464675,3.103814963313049,1.051384458352196,1.0822553638266124,8.867492407430504,1.8289754726355625,11.617775477797597,54,53
55,B,D,E,H,I,B,E,A,D,H,A,D,I,D,G,H,L,P,H,L,Q,0.0007248910754128652,0.0037682057400039437,5.00150805201351,10.00740919066655,2.0233809997921646,3.914352015891607,4.051629573505462,3.946424366185928,17.174120989458423,6.56345933248171,-7.766963639238266,55,55
56,A,C,E,H,I,C,F,A,D,H,A,D,H,A,D,H,L,P,H,L,R,-0.08929313470190292,0.0009141684428748459,0.9994264690238007,1.9959679624056859,2.8956308930175916,1.150357704100342,1.1172621529171176,9.135957147408414,1.2531373366665772,-2.508566079042348,-14.643845119309242,56,56
57,B,D,E,H,I,A,D,A,D,H,A,D,I,B,E,H,L,P,H,L,P,-0.10118948273603519,0.0010975885821577303,4.984841914035651,9.995023603158215,1.090087732694737,2.013549697734145,4.098871642799056,1.039254382026331,3.5931755289553897,-8.32640091640335,-14.328096022895062,57,57
58,A,C,E,H,I,B,E,A,D,H,A,D,H,C,F,H,L,P,H,L,Q,0.05698219740749566,0.0019979741565491344,0.9892525984440461,2.004521978121699,1.9877149445122213,3.0242415353530974,1.1603975572513983,4.405336088919887,9.0862680019994,-10.90044154758731,-23.578828451626997,58,57
59,B,D,E,H,I,C,F,A,D,H,A,D,I,D,G,H,L,P,H,L,R,0.1786605093358539,0.0016863125663122997,4.988332774723213,9.997169720095892,2.981246406199138,3.988601142873399,3.956304026715757,8.844485239114615,16.297343018558045,-14.801907981413787,-33.914537389401964,59,58
60,A,C,E,H,I,A,D,A,D,H,A,D,H,A,D,H,L,P,H,L,P,-0.12391293991479808,0.0027652617624099314,1.018489930825161,1.988532441144572,0.8623787655902719,0.9941065781508329,0.9595799605248787,1.0411556392729187,1.0914158009851052,-12.311024914509748,-35.958540512143315,60,60
61,B,D,E,H,I,B,E,A,D,H,A,D,I,B,E,H,L,P,H,L,Q,-0.009246112475805115,0.0016190535201995766,4.997746686197486,10.00516514213352,2.1511552099870546,2.098731849796576,4.8042838957477185,4.088104918961818,4.272318714291728,-20.685941685554223,-3.3948726875005484,61,61
62,A,C,E,H,I,C,F,A,D,H,A,D,H,C,F,H,L,P,H,L,R,0.0046832828749065495,1.540923130577164e-05,0.9888509832768912,2.0102901484387057,3.0289455388223434,3.1273623760730476,0.7676087954499402,8.583067999388861,8.84581237156672,-12.98696362971562,-26.426981023227892,62,62
63,B,D,E,H,I,A,D,A,D,H,A,D,I,D,G,H,L,P,H,L,P,-0.08335198164737967,0.011770245252637219,4.999199455642519,9.985366967505819,1.005302895340226,4.06622380247163,4.133529040620623,1.3116568610238029,16.416582454441027,-24.445147204037635,-26.067062381572896,63,63
64,A,C,E,H,I,B,E,A,D,H,A,D,H,A,D,H,L,P,H,L,Q,0.19442417235835394,0.0415598704319499,1.0059325673680084,2.0073866830850378,2.1226217304569817,1.019549837476231,1.0749401940567889,4.07793880943992,0.9416064823250313,-10.42390989970908,-29.62704693820765,64,64
65,B,D,E,H,I,C,F,A,D,H,A,D,I,B,E,H,L,P,H,L,R,-0.053596016226980396,5.653272757771007e-05,4.996683476489753,10.002142420944326,2.9210934645327136,1.9047193921410257,4.129716294059462,9.509368467355971,4.54943690816943,-3.336002852863497,11.573973704704315,65,65
66,A,C,E,H,I,A,D,A,D,H,A,D,H,C,F,H,L,P,H,L,P,0.0006704999716521534,0.00014016244984559886,1.012390508664159,1.993882010453057,1.1027193868607206,2.9815208237154005,0.771130829967154,1.0660590758800856,8.940804345611209,-17.90537397749339,-47.169368277728154,66,65
67,B,D,E,H,I,B,E,A,D,H,A,D,I,D,G,H,L,P,H,L,Q,-0.032134820054885584,0.008116225590120398,4.991662253136591,10.023997284466319,1.9048102754157872,3.9847994294170546,4.089424861751428,4.616326809114053,16.885830827408967,-17.886263304693614,-30.665775009003156,67,67
68,A,C,E,H,I,C,F,A,D,H,A,D,H,A,D,H,L,P,H,L,R,0.06401153972547532,0.03135134431711467,0.9948464620909766,2.0113909456271064,3.1548456793603954,0.9596328327247907,1.0926661836749554,9.465675708223932,1.097076196349355,-12.157716660017428,-12.56849746458195,68,68
69,B,D,E,H,I,A,D,A,D,H,A,D,I,B,E,H,L,P,H,L,P,-0.11328164253741886,0.01940940907435412,4.988707329542387,9.995421847047433,0.9006137965979473,2.0569839286700224,4.008831901331363,1.0354682111372062,3.60416573278278,-15.568323027908045,-27.287282805020844,69,69
70,A,C,E,H,I,B,E,A,D,H,A,D,H,C,F,H,L,P,H,L,Q,0.0027547187562863315,0.0002996221637311849,0.983066598669949,1.996838798733183,2.0280794298249973,3.008745534386412,1.3793825809459899,4.4217025270846415,10.343179017993554,-15.638920444901157,-15.304651754940169,70,70
71,B,D,E,H,I,C,F,A,D,H,A,D,I,D,G,H,L,P,H,L,R,0.003456251877913822,0.03040082818143178,5.000758591255626,10.004864485400903,3.0619153942492177,4.088982255785044,3.7103191544485896,8.657806038597942,16.781996621643874,-9.946265895308253,-31.988368449872958,71,70
72,A,C,E,H,I,A,D,A,D,H,A,D,H,A,D,H,L,P,H,L,P,0.0907536467017093,0.0017436413210380197,1.0160250347881978,2.0019861660372142,1.0388789515739851,0.9432267603265666,1.0370160387836138,1.2706943692771069,0.9559343501086845,-0.9882298629151709,-36.33677374769044,72,71
73,B,D,E,H,I,B,E,A,D,H,A,D,I,B,E,H,L,P,H,L,Q,-0.011554022007206453,0.0006945296408852392,4.983504996908442,9.984078502414203,2.0847823723724392,1.8463785527500982,4.543013880648027,3.6749935677688983,3.919895936541959,-14.762671215666721,-25.30308995288423,73,72
74,A,C,E,H,I,C,F,A,D,H,A,D,H,C,F,H,L,P,H,L,R,-0.07731121080467279,0.011432800412110984,0.9861888919415801,2.000274604996563,3.0495818153595544,2.9200975127144635,0.9066994266252197,7.414145118225305,9.83027647531761,-23.48411686267376,-5.556979559288084,74,74
75,B,D,E,H,I,A,D,A,D,H,A,D,I,D,G,H,L,P,H,L,P,0.04520693790732669,0.024248851448932757,5.017037430115063,9.988968288247081,0.924073026495918,3.9267502488069392,4.638025282053244,0.8880059450715365,16.45128724080632,-19.22757684971016,13.355058654228614,75,75
76,A,C,E,H,I,B,E,A,D,H,A,D,H,A,D,H,L,P,H,L,Q,0.10499261314119131,0.012899888908524774,0.9961680168682021,1.9974133161377734,2.0417274150530176,1.059519441693668,1.101926942953235,4.309972731857778,1.229501301561543,-22.75859830264364,-19.09425411168743,76,75
77,B,D,E,H,I,C,F,A,D,H,A,D,I,B,E,H,L,P,H,L,R,0.1278454749070865,0.0038164380172759243,5.016153888181562,9.99973264590521,2.9029301357848047,2.0465299128783996,4.392736856418597,9.845046962697221,4.197358556259584,-18.191969509389086,-23.292916152830607,77,76
78,A,C,E,H,I,A,D,A,D,H,A,D,H,C,F,H,L,P,H,L,P,-0.037740116938360165,0.006049007247573401,0.9946904802368959,1.9958001741876277,1.0016836707636037,3.028418222008424,1.055660821331141,0.8940683091199153,9.074848678539581,-8.03277606348047,-33.143497650038015,78,78
79,B,D,E,H,I,B,E,A,D,H,A,D,I,D,G,H,L,P,H,L,Q,-0.019017900543259983,0.05231103246297723,5.0098316958890505,9.989419569110078,1.9433058757491428,3.901277289676841,3.895416238904672,3.43662068023264,15.371178890897594,-1.9941724124332776,-20.899929605609096,79,78
80,A,C,E,H,I,C,F,A,D,H,A,D,H,A,D,H,L,P,H,L,R,0.022949991215258023,0.0016336962461737043,1.012094085587473,1.9910429060744748,2.8423344983606067,1.1574962987200161,0.7814433244742042,8.194939488749418,0.8597059528798937,-13.129961731311282,-60.14322206388251,80,79
81,B,D,E,H,I,A,D,A,D,H,A,D,I,B,E,H,L,P,H,L,P,-0.053669889887022315,0.004055733987391443,5.011360804174734,10.016402379861264,1.1005400377488677,1.9661683631941116,3.680944441035766,1.27621631198084,3.910712989371004,-11.6814223908873,-18.076214281011396,81,81
82,A,C,E,H,I,B,E,A,D,H,A,D,H,C,F,H,L,P,H,L,Q,-0.10335069949588303,0.013911682196008308,0.9936151235605036,2.011791269568205,1.8764322404176488,2.935853150409632,1.0412794995053445,4.091623603198357,9.57743229066751,-24.899356569502054,-46.540193675774404,82,82
83,B,D,E,H,I,C,F,A,D,H,A,D,I,D,G,H,L,P,H,L,R,-0.08803373051201425,0.0038950256524616328,5.010638577565227,10.002909538109998,2.9827217538090793,3.989797932761468,3.867942264142708,9.26830684212074,15.869368716229905,-12.202417326737052,-54.902630000029625,83,83
84,A,C,E,H,I,A,D,A,D,H,A,D,H,A,D,H,L,P,H,L,P,0.011975752885206083,0.005230257242661298,1.0006637584545335,2.015490551169784,1.062278300468164,1.0648950663543655,1.0567386130626044,1.305368565904308,1.2630692672271984,-6.26200001634592,-1.4065249380891132,84,83
85,B,D,E,H,I,B,E,A,D,H,A,D,I,B,E,H,L,P,H,L,Q,-0.10222370327171114,0.01542708195122172,5.0001744293870205,10.003639233322769,2.0377822961013417,2.060687869793925,4.461688704481123,4.361961969150919,3.3132115767091057,-12.83966876728404,-12.955086141914496,85,84
86,A,C,E,H,I,C,F,A,D,H,A,D,H,C,F,H,L,P,H,L,R,0.06376899545926588,0.03126968952341659,0.991513688957487,1.9910895583780022,2.9562209297996915,2.8309288020389456,0.9265330687040368,8.584121433282014,8.876617809651504,1.448795212462958,-32.22487704678453,86,86
87,B,D,E,H,I,A,D,A,D,H,A,D,I,D,G,H,L,P,H,L,P,-0.026010199615586035,0.006139301559098678,5.0073488799371955,10.017198428818041,0.8991397679054889,3.885590939827484,4.608550537695402,0.9610190930337777,16.924973815399706,-10.664523090105115,-16.997318594515292,87,86
88,A,C,E,H,I,B,E,A,D,H,A,D,H,A,D,H,L,P,H,L,Q,0.12132430045687802,0.0005175763555230416,1.0014995753339702,2.0145482730635362,1.9952361205662261,1.0546450082345156,1.0765269861321092,4.651727057651879,0.9980310481726962,4.4650950858061815,-31.873146095267508,88,88
89,B,D,E,H,I,C,F,A,D,H,A,D,I,B,E,H,L,P,H,L,R,0.12451795661141066,4.0187789318980375e-05,4.9811029596395064,10.012016446000635,2.79728639075076,2.1651803781392283,3.6321790274011536,7.968098684480269,4.485250757781933,-3.3754389801738816,-26.75917767311129,89,88
90,A,C,E,H,I,A,D,A,D,H,A,D,H,C,F,H,L,P,H,L,P,-0.034415387395728435,0.015348157195714916,0.9934972600173404,2.0043668888079593,1.0634423946954912,3.1319104473888064,0.9458476808718448,0.7093698722827999,9.548473009580675,-14.93716954966478,-47.49851477970198,90,89
