Binary Balanced 1,Binary Balanced 2,Binary Extreme 1a,Binary Extreme 1b,Binary Extreme 2,Trinary Balanced 1,Trinary Balanced 2,Trinary Skewed 1a,Trinary Skewed 1b,Trinary Skewed 2,Trinary Extreme 1a,Trinary Extreme 1b,Trinary Extreme 2,Quaternary Balanced 1,Quaternary Balanced 2,Quaternary Skewed 1a,Quaternary Skewed 1b,Quaternary Skewed 2,Quaternary Extreme 1a,Quaternary Extreme 1b,Quaternary Extreme 2,Continuous Normal,Continuous Skewed,Continuous Binary Normal 1,Continuous Binary Normal 2,Continuous Trinary Normal,Continuous Quaternary Normal,Continuous Binary Skewed,Continuous Trinary Skewed,Continuous Quaternary Skewed,Unary 1,Unary 2,Correlated 1,Correlated 2
A,C,E,H,I,B,E,A,D,H,A,D,H,C,F,H,L,P,H,L,Q,0.026140293,0.023560402,0.991120206,2.002730278,2.062397703,3.101473851,0.79935547,3.922833691,8.559374478,-7.57356633,-80.8727333,10,9
B,D,E,H,I,C,F,A,D,H,A,D,I,D,G,H,L,P,H,L,R,0.068095049,0.027873862,5.003081879,9.99169624,2.814721479,4.02092691,2.815220027,10.2929759,15.16173049,-22.41542406,-3.817031415,11,10
A,C,E,H,I,A,D,A,D,H,A,D,H,A,D,H,L,P,H,L,P,-0.261527138,0.004213791,0.988506258,1.986111469,0.958870562,0.795917678,0.579161458,0.732059867,1.043854544,-14.78530941,-66.66362815,12,11
B,D,E,H,I,B,E,A,D,H,A,D,I,B,E,H,L,P,H,L,Q,-0.050874225,0.003563062,4.996625741,9.976491466,2.030210905,1.981534805,3.920110348,3.524811991,4.831268215,-10.29193618,-35.28917429,13,12
A,C,E,H,I,C,F,A,D,H,A,D,H,C,F,H,L,P,H,L,R,0.128691423,0.016678397,1.009732169,2.005942962,3.032315008,3.07921363,0.690794744,8.331908011,8.613081324,10.14799043,20.3969937,14,14
B,D,E,H,I,A,D,A,D,H,A,D,I,D,G,H,L,P,H,L,P,0.130244402,0.007950257,5.00032879,9.996775817,1.036993147,3.901069586,3.569184951,0.859958506,16.3860517,-10.18234047,-29.90637752,15,14
A,C,E,H,I,B,E,A,D,H,A,D,H,A,D,H,L,P,H,L,Q,-0.083526791,0.003271771,1.011890378,2.005237397,1.932437799,0.967029198,0.845153644,4.63394017,1.248991854,-7.945726759,1.208662904,16,16
B,D,E,H,I,C,F,A,D,H,A,D,I,B,E,H,L,P,H,L,R,-0.002806351,0.033517456,4.997661491,9.990196793,3.001899141,2.006753257,4.000319982,8.142852475,4.027490216,-6.367572614,-32.15656763,17,16
A,C,E,H,I,A,D,A,D,H,A,D,H,C,F,H,L,P,H,L,P,0.005011271,1.03E-05,1.005711382,1.998669387,0.931234014,3.052259631,1.366721419,0.992799475,10.00042007,-6.406983514,-60.2591887,18,17
B,D,E,H,I,B,E,A,D,H,A,D,I,D,G,H,L,P,H,L,Q,-0.006937768,0.001853774,4.983912853,10.00620429,2.121024577,3.969861359,3.986817017,3.425085889,16.80321264,-11.22655462,-30.51057542,19,19
A,C,E,H,I,C,F,A,D,H,A,D,H,A,D,H,L,P,H,L,R,-0.05512129,0.002650177,0.999989724,1.99170243,2.97870148,1.010983911,0.993341626,8.881232973,0.971578174,-19.25026377,-15.47296981,20,20
B,D,E,H,I,A,D,A,D,H,A,D,I,B,E,H,L,P,H,L,P,-0.03502616,0.006097756,4.980050521,9.998987123,0.974010155,1.941055712,3.460065036,1.089795429,4.263966179,-5.391554532,9.885192753,21,20
A,C,E,H,I,B,E,A,D,H,A,D,H,C,F,H,L,P,H,L,Q,0.128465372,0.00084833,1.007333222,1.996112471,2.067931771,2.992557205,0.845585042,4.103813938,9.856482966,-7.87754464,-54.80437633,22,21
B,D,E,H,I,C,F,A,D,H,A,D,I,D,G,H,L,P,H,L,R,-0.160565298,5.38E-05,4.997081558,9.99655154,2.963698282,3.954472366,3.949942424,8.553238527,15.34983514,-17.92098134,3.502986162,23,22
A,C,E,H,I,A,D,A,D,H,A,D,H,A,D,H,L,P,H,L,P,-0.08048733,0.005675618,0.990456157,1.993873259,1.167005152,1.080855842,0.929840068,0.769213803,0.892680273,-19.44940051,-24.5558797,24,24
B,D,E,H,I,B,E,A,D,H,A,D,I,B,E,H,L,P,H,L,Q,-0.099382926,0.00065587,4.991179222,10.00275641,2.095210397,2.053202634,4.800036993,5.052646404,3.961677524,-28.18571398,-1.530483107,25,24
A,C,E,H,I,C,F,A,D,H,A,D,H,C,F,H,L,P,H,L,R,-0.139070223,0.00066679,0.986195611,1.998645399,2.966238627,3.052546236,0.933222737,8.875446304,8.475448058,-23.07008487,-28.55123013,26,26
B,D,E,H,I,A,D,A,D,H,A,D,I,D,G,H,L,P,H,L,P,0.045613409,0.036376917,5.007234842,9.994450209,1.19817086,3.997656337,3.380921043,1.098131472,16.49827624,-12.38702393,-45.31768061,27,27
A,C,E,H,I,B,E,A,D,H,A,D,H,A,D,H,L,P,H,L,Q,0.00252259,0.001754453,1.008718117,1.989693973,2.011568523,1.162814006,0.938190051,3.782451771,1.188441688,-4.010702096,-21.27318203,28,28
B,D,E,H,I,C,F,A,D,H,A,D,I,B,E,H,L,P,H,L,R,0.145229969,0.029058268,4.986344644,9.993496875,2.85009229,2.216555908,3.697034718,8.247282639,4.249657598,-2.507538633,-8.346708744,29,28
A,C,E,H,I,A,D,A,D,H,A,D,H,C,F,H,L,P,H,L,P,0.019553661,0.007397711,1.007808698,1.991663631,0.918266125,2.980290272,0.796582926,0.593917857,9.425314744,-5.620305352,-72.05264622,30,29
B,D,E,H,I,B,E,A,D,H,A,D,I,D,G,H,L,P,H,L,Q,0.10497509,0.001864012,5.000680147,10.0097649,1.991170486,3.866379954,3.528066115,3.374720605,17.12367134,-20.08971968,-29.76586191,31,30
A,C,E,H,I,C,F,A,D,H,A,D,H,A,D,H,L,P,H,L,R,0.002112078,0.005000053,1.013704947,1.980443625,3.137163062,0.92880664,1.469093096,8.311348298,0.908980814,-4.279941529,-21.87489999,32,32
B,D,E,H,I,A,D,A,D,H,A,D,I,B,E,H,L,P,H,L,P,0.058821402,0.017772137,5.011914634,10.00411004,1.011162567,1.992139585,4.4858535,0.91522239,4.248988163,-20.78008693,-14.77819707,33,32
A,C,E,H,I,B,E,A,D,H,A,D,H,C,F,H,L,P,H,L,Q,0.084506736,0.043512168,0.988028398,1.992884235,1.949158591,2.944624224,1.162526606,3.245873147,9.674926015,-16.26465441,-37.99208782,34,34
B,D,E,H,I,C,F,A,D,H,A,D,I,D,G,H,L,P,H,L,R,0.034536042,0.012102628,4.988689959,10.00164769,3.128260435,4.128362483,3.818913242,8.790309517,15.45725194,-3.821105283,-42.19182177,35,35
A,C,E,H,I,A,D,A,D,H,A,D,H,A,D,H,L,P,H,L,P,-0.075820051,0.035541366,0.983035308,2.015889561,0.867351903,1.042404071,1.073509139,0.578997237,1.003674753,-1.519241711,-8.575525408,36,35
B,D,E,H,I,B,E,A,D,H,A,D,I,B,E,H,L,P,H,L,Q,0.130931579,7.18E-05,4.983853283,9.998973853,1.863876626,2.00409741,4.194920787,4.155061651,3.510669877,-16.32519571,-24.460751,37,36
A,C,E,H,I,C,F,A,D,H,A,D,H,C,F,H,L,P,H,L,R,-0.058203009,0.00124695,0.997720286,2.000409537,3.113378271,2.904984044,1.079932046,8.931264128,9.206569185,-16.12353203,-7.422136501,38,38
B,D,E,H,I,A,D,A,D,H,A,D,I,D,G,H,L,P,H,L,P,0.014430444,0.013203525,4.995688565,10.00599599,0.928760291,3.925430119,4.083271859,0.757401617,16.62310121,18.07959336,-48.26417379,39,38
A,C,E,H,I,B,E,A,D,H,A,D,H,A,D,H,L,P,H,L,Q,0.019889544,0.009070822,1.001606752,2.000290503,2.013288449,1.008606509,1.288133562,3.963065967,0.704755604,-0.497521594,20.19323143,40,39
B,D,E,H,I,C,F,A,D,H,A,D,I,B,E,H,L,P,H,L,R,-0.016635728,0.010942979,5.008964038,10.00129316,3.03582624,1.983889342,3.199241215,7.9887368,3.113855113,-15.45222643,-42.20460998,41,41
A,C,E,H,I,A,D,A,D,H,A,D,H,C,F,H,L,P,H,L,P,-0.000751404,0.000148559,1.006117308,1.983316116,1.069197763,2.965493637,0.734713165,0.815665274,9.501178331,-22.49939586,-49.5708604,42,41
B,D,E,H,I,B,E,A,D,H,A,D,I,D,G,H,L,P,H,L,Q,-0.022603567,0.010834978,5.008098847,10.00705797,1.837155169,3.792366478,3.973980245,4.070110024,15.79329795,-15.08530522,-28.58114854,43,42
A,C,E,H,I,C,F,A,D,H,A,D,H,A,D,H,L,P,H,L,R,-0.102626364,0.00465099,0.998977174,2.00458815,3.117342759,0.967717722,0.96125161,9.50068841,0.941670824,-11.22005123,-46.67278623,44,43
B,D,E,H,I,A,D,A,D,H,A,D,I,B,E,H,L,P,H,L,P,-0.115557839,0.001484693,4.996469965,9.996448141,0.957749549,2.159118825,3.631951539,1.214845131,4.243592227,-1.156760203,-2.627234787,45,44
A,C,E,H,I,B,E,A,D,H,A,D,H,C,F,H,L,P,H,L,Q,-0.162972217,0.020762348,0.997288929,1.997797691,2.09018488,2.961314404,1.015565696,3.859165657,8.410658665,-18.76416565,-4.077999862,46,46
B,D,E,H,I,C,F,A,D,H,A,D,I,D,G,H,L,P,H,L,R,0.102655885,0.000205342,5.0139342,9.988783871,3.090357631,4.059677183,3.287888837,9.73135754,17.0745923,0.29877736,-7.72348545,47,47
A,C,E,H,I,A,D,A,D,H,A,D,H,A,D,H,L,P,H,L,P,-0.11634837,0.02818494,1.012935528,2.003378283,1.119272528,1.11125732,0.990627173,0.637565578,1.230748653,-19.22194977,-18.95726162,48,48
B,D,E,H,I,B,E,A,D,H,A,D,I,B,E,H,L,P,H,L,Q,0.082232698,0.008108588,4.99491384,10.00534788,2.106164176,2.018424992,3.732573091,3.993869272,3.480886844,-0.928884986,-36.94728134,49,49
A,C,E,H,I,C,F,A,D,H,A,D,H,C,F,H,L,P,H,L,R,0.036479259,0.050088656,0.993283909,1.995091877,3.009669848,2.932449106,0.885805736,9.146846941,8.090247078,-5.606968056,16.25567527,50,50
B,D,E,H,I,A,D,A,D,H,A,D,I,D,G,H,L,P,H,L,P,0.22196554,0.001954472,5.003814911,9.992746034,0.727060742,3.920059262,3.794821017,1.292260492,16.74269088,-13.93641005,2.645237819,51,51
A,C,E,H,I,B,E,A,D,H,A,D,H,A,D,H,L,P,H,L,Q,0.083643309,0.005552813,0.97493458,2.005820924,2.058367151,0.991052231,1.225859916,4.123146858,0.776536306,-6.46870439,-23.93827013,52,51
B,D,E,H,I,C,F,A,D,H,A,D,I,B,E,H,L,P,H,L,R,0.01290565,0.004944052,5.014278943,10.00124956,2.961375184,1.891436016,3.924135497,8.313690626,3.435663004,-15.78453803,-25.86398038,53,53
A,C,E,H,I,A,D,A,D,H,A,D,H,C,F,H,L,P,H,L,P,0.008669602,0.008574846,1.007389076,1.989397333,1.111384879,3.103814963,1.051384458,1.082255364,8.867492407,1.828975473,11.61777548,54,53
B,D,E,H,I,B,E,A,D,H,A,D,I,D,G,H,L,P,H,L,Q,0.000724891,0.003768206,5.001508052,10.00740919,2.023381,3.914352016,4.051629574,3.946424366,17.17412099,6.563459332,-7.766963639,55,55
A,C,E,H,I,C,F,A,D,H,A,D,H,A,D,H,L,P,H,L,R,-0.089293135,0.000914168,0.999426469,1.995967962,2.895630893,1.150357704,1.117262153,9.135957147,1.253137337,-2.508566079,-14.64384512,56,56
B,D,E,H,I,A,D,A,D,H,A,D,I,B,E,H,L,P,H,L,P,-0.101189483,0.001097589,4.984841914,9.995023603,1.090087733,2.013549698,4.098871643,1.039254382,3.593175529,-8.326400916,-14.32809602,57,57
A,C,E,H,I,B,E,A,D,H,A,D,H,C,F,H,L,P,H,L,Q,0.056982197,0.001997974,0.989252598,2.004521978,1.987714945,3.024241535,1.160397557,4.405336089,9.086268002,-10.90044155,-23.57882845,58,57
B,D,E,H,I,C,F,A,D,H,A,D,I,D,G,H,L,P,H,L,R,0.178660509,0.001686313,4.988332775,9.99716972,2.981246406,3.988601143,3.956304027,8.844485239,16.29734302,-14.80190798,-33.91453739,59,58
A,C,E,H,I,A,D,A,D,H,A,D,H,A,D,H,L,P,H,L,P,-0.12391294,0.002765262,1.018489931,1.988532441,0.862378766,0.994106578,0.959579961,1.041155639,1.091415801,-12.31102491,-35.95854051,60,60
B,D,E,H,I,B,E,A,D,H,A,D,I,B,E,H,L,P,H,L,Q,-0.009246112,0.001619054,4.997746686,10.00516514,2.15115521,2.09873185,4.804283896,4.088104919,4.272318714,-20.68594169,-3.394872688,61,61
A,C,E,H,I,C,F,A,D,H,A,D,H,C,F,H,L,P,H,L,R,0.004683283,1.54E-05,0.988850983,2.010290148,3.028945539,3.127362376,0.767608795,8.583067999,8.845812372,-12.98696363,-26.42698102,62,62
B,D,E,H,I,A,D,A,D,H,A,D,I,D,G,H,L,P,H,L,P,-0.083351982,0.011770245,4.999199456,9.985366968,1.005302895,4.066223802,4.133529041,1.311656861,16.41658245,-24.4451472,-26.06706238,63,63
A,C,E,H,I,B,E,A,D,H,A,D,H,A,D,H,L,P,H,L,Q,0.194424172,0.04155987,1.005932567,2.007386683,2.12262173,1.019549837,1.074940194,4.077938809,0.941606482,-10.4239099,-29.62704694,64,64
B,D,E,H,I,C,F,A,D,H,A,D,I,B,E,H,L,P,H,L,R,-0.053596016,5.65E-05,4.996683476,10.00214242,2.921093465,1.904719392,4.129716294,9.509368467,4.549436908,-3.336002853,11.5739737,65,65
A,C,E,H,I,A,D,A,D,H,A,D,H,C,F,H,L,P,H,L,P,0.0006705,0.000140162,1.012390509,1.99388201,1.102719387,2.981520824,0.77113083,1.066059076,8.940804346,-17.90537398,-47.16936828,66,65
B,D,E,H,I,B,E,A,D,H,A,D,I,D,G,H,L,P,H,L,Q,-0.03213482,0.008116226,4.991662253,10.02399728,1.904810275,3.984799429,4.089424862,4.616326809,16.88583083,-17.8862633,-30.66577501,67,67
A,C,E,H,I,C,F,A,D,H,A,D,H,A,D,H,L,P,H,L,R,0.06401154,0.031351344,0.994846462,2.011390946,3.154845679,0.959632833,1.092666184,9.465675708,1.097076196,-12.15771666,-12.56849746,68,68
B,D,E,H,I,A,D,A,D,H,A,D,I,B,E,H,L,P,H,L,P,-0.113281643,0.019409409,4.98870733,9.995421847,0.900613797,2.056983929,4.008831901,1.035468211,3.604165733,-15.56832303,-27.28728281,69,69
A,C,E,H,I,B,E,A,D,H,A,D,H,C,F,H,L,P,H,L,Q,0.002754719,0.000299622,0.983066599,1.996838799,2.02807943,3.008745534,1.379382581,4.421702527,10.34317902,-15.63892044,-15.30465175,70,70
B,D,E,H,I,C,F,A,D,H,A,D,I,D,G,H,L,P,H,L,R,0.003456252,0.030400828,5.000758591,10.00486449,3.061915394,4.088982256,3.710319154,8.657806039,16.78199662,-9.946265895,-31.98836845,71,70
A,C,E,H,I,A,D,A,D,H,A,D,H,A,D,H,L,P,H,L,P,0.090753647,0.001743641,1.016025035,2.001986166,1.038878952,0.94322676,1.037016039,1.270694369,0.95593435,-0.988229863,-36.33677375,72,71
B,D,E,H,I,B,E,A,D,H,A,D,I,B,E,H,L,P,H,L,Q,-0.011554022,0.00069453,4.983504997,9.984078502,2.084782372,1.846378553,4.543013881,3.674993568,3.919895937,-14.76267122,-25.30308995,73,72
A,C,E,H,I,C,F,A,D,H,A,D,H,C,F,H,L,P,H,L,R,-0.077311211,0.0114328,0.986188892,2.000274605,3.049581815,2.920097513,0.906699427,7.414145118,9.830276475,-23.48411686,-5.556979559,74,74
B,D,E,H,I,A,D,A,D,H,A,D,I,D,G,H,L,P,H,L,P,0.045206938,0.024248851,5.01703743,9.988968288,0.924073026,3.926750249,4.638025282,0.888005945,16.45128724,-19.22757685,13.35505865,75,75
A,C,E,H,I,B,E,A,D,H,A,D,H,A,D,H,L,P,H,L,Q,0.104992613,0.012899889,0.996168017,1.997413316,2.041727415,1.059519442,1.101926943,4.309972732,1.229501302,-22.7585983,-19.09425411,76,75
B,D,E,H,I,C,F,A,D,H,A,D,I,B,E,H,L,P,H,L,R,0.127845475,0.003816438,5.016153888,9.999732646,2.902930136,2.046529913,4.392736856,9.845046963,4.197358556,-18.19196951,-23.29291615,77,76
A,C,E,H,I,A,D,A,D,H,A,D,H,C,F,H,L,P,H,L,P,-0.037740117,0.006049007,0.99469048,1.995800174,1.001683671,3.028418222,1.055660821,0.894068309,9.074848679,-8.032776063,-33.14349765,78,78
B,D,E,H,I,B,E,A,D,H,A,D,I,D,G,H,L,P,H,L,Q,-0.019017901,0.052311032,5.009831696,9.989419569,1.943305876,3.90127729,3.895416239,3.43662068,15.37117889,-1.994172412,-20.89992961,79,78
A,C,E,H,I,C,F,A,D,H,A,D,H,A,D,H,L,P,H,L,R,0.022949991,0.001633696,1.012094086,1.991042906,2.842334498,1.157496299,0.781443324,8.194939489,0.859705953,-13.12996173,-60.14322206,80,79
B,D,E,H,I,A,D,A,D,H,A,D,I,B,E,H,L,P,H,L,P,-0.05366989,0.004055734,5.011360804,10.01640238,1.100540038,1.966168363,3.680944441,1.276216312,3.910712989,-11.68142239,-18.07621428,81,81
A,C,E,H,I,B,E,A,D,H,A,D,H,C,F,H,L,P,H,L,Q,-0.103350699,0.013911682,0.993615124,2.01179127,1.87643224,2.93585315,1.0412795,4.091623603,9.577432291,-24.89935657,-46.54019368,82,82
B,D,E,H,I,C,F,A,D,H,A,D,I,D,G,H,L,P,H,L,R,-0.088033731,0.003895026,5.010638578,10.00290954,2.982721754,3.989797933,3.867942264,9.268306842,15.86936872,-12.20241733,-54.90263,83,83
A,C,E,H,I,A,D,A,D,H,A,D,H,A,D,H,L,P,H,L,P,0.011975753,0.005230257,1.000663758,2.015490551,1.0622783,1.064895066,1.056738613,1.305368566,1.263069267,-6.262000016,-1.406524938,84,83
B,D,E,H,I,B,E,A,D,H,A,D,I,B,E,H,L,P,H,L,Q,-0.102223703,0.015427082,5.000174429,10.00363923,2.037782296,2.06068787,4.461688704,4.361961969,3.313211577,-12.83966877,-12.95508614,85,84
A,C,E,H,I,C,F,A,D,H,A,D,H,C,F,H,L,P,H,L,R,0.063768995,0.03126969,0.991513689,1.991089558,2.95622093,2.830928802,0.926533069,8.584121433,8.87661781,1.448795212,-32.22487705,86,86
B,D,E,H,I,A,D,A,D,H,A,D,I,D,G,H,L,P,H,L,P,-0.0260102,0.006139302,5.00734888,10.01719843,0.899139768,3.88559094,4.608550538,0.961019093,16.92497382,-10.66452309,-16.99731859,87,86
A,C,E,H,I,B,E,A,D,H,A,D,H,A,D,H,L,P,H,L,Q,0.1213243,0.000517576,1.001499575,2.014548273,1.995236121,1.054645008,1.076526986,4.651727058,0.998031048,4.465095086,-31.8731461,88,88
B,D,E,H,I,C,F,A,D,H,A,D,I,B,E,H,L,P,H,L,R,0.124517957,4.02E-05,4.98110296,10.01201645,2.797286391,2.165180378,3.632179027,7.968098684,4.485250758,-3.37543898,-26.75917767,89,88
A,C,E,H,I,A,D,A,D,H,A,D,H,C,F,H,L,P,H,L,P,-0.034415387,0.015348157,0.99349726,2.004366889,1.063442395,3.131910447,0.945847681,0.709369872,9.54847301,-14.93716955,-47.49851478,90,89
B,D,E,H,I,B,E,A,D,H,A,D,I,D,G,H,L,P,H,L,Q,-0.163194888,0.013739988,5.017780837,10.00227279,2.039444778,3.93678129,4.154776579,3.765027465,14.95008258,-27.96259868,-20.54779087,91,90
A,C,E,H,I,C,F,A,D,H,A,D,H,A,D,H,L,P,H,L,R,0.090163004,0.023090032,1.008462115,2.005157547,2.968691656,0.875078537,0.994609254,8.506354344,1.320014232,-2.286837186,-52.86434235,92,92
B,D,E,H,I,A,D,A,D,H,A,D,I,B,E,H,L,P,H,L,P,-0.064749525,0.015573851,4.991576791,9.991992789,0.925417809,2.138033367,3.651732381,0.892787139,4.386374816,-26.18946954,-46.2562289,93,93
A,C,E,H,I,B,E,A,D,H,A,D,H,C,F,H,L,P,H,L,Q,-0.115718863,2.57E-06,0.996413175,1.994124303,1.945022773,3.105508415,1.021103944,4.07003974,9.302624297,-1.337592698,-67.49937977,94,94
B,D,E,H,I,C,F,A,D,H,A,D,I,D,G,H,L,P,H,L,R,0.020879177,0.003390628,4.993867279,10.01755359,2.839821081,4.147699049,3.788442808,8.830336637,16.36428571,-13.45660534,-30.73094402,95,94
A,C,E,H,I,A,D,A,D,H,A,D,H,A,D,H,L,P,H,L,P,0.145781737,0.024429561,1.002597739,1.989123853,0.935829149,0.953540117,1.096701798,1.323977061,1.175107597,-11.517532,-14.08306532,96,96
B,D,E,H,I,B,E,A,D,H,A,D,I,B,E,H,L,P,H,L,Q,-0.148793997,0.01883833,4.975247956,9.995706287,1.956203557,2.063635865,4.190455676,4.262924444,4.690973691,-12.43402225,-11.69712807,97,97
A,C,E,H,I,C,F,A,D,H,A,D,H,C,F,H,L,P,H,L,R,0.196803695,0.00470213,1.00330191,1.989093453,3.15500407,2.946817825,1.10588644,9.331890269,8.516871298,-1.744021179,-6.122249505,98,98
B,D,E,H,I,A,D,A,D,H,A,D,I,D,G,H,L,P,H,L,P,0.324557476,0.015580963,5.002993119,10.00491378,1.115227368,3.888373093,4.066727839,1.478890812,15.61593842,-14.05999259,-12.30210769,99,99
A,C,E,H,I,B,E,A,D,H,A,D,H,A,D,H,L,Q,H,L,Q,-0.075303322,0.001824516,1.003357991,2.004646356,1.877520044,0.990619664,0.834064139,4.095056958,0.998692922,-4.152990886,-29.39391227,100,99
B,D,E,H,I,C,F,A,D,H,A,D,I,B,E,H,L,Q,H,L,R,0.05860047,0.00245457,4.999969705,10.00301883,2.778003485,1.887540608,4.311089236,9.512418408,3.74403567,-1.535138939,-33.91717386,101,101
A,C,E,H,I,A,D,A,D,H,A,D,H,C,F,H,L,Q,H,L,P,0.101082104,0.001988668,1.006809693,2.006176993,0.792070157,2.968301685,0.616713918,0.846485837,9.122582172,-15.76280557,-28.74013189,102,101
B,D,E,H,I,B,E,A,D,H,A,D,I,D,G,H,L,Q,H,L,Q,0.040344992,0.009918756,5.012517456,10.00466779,1.951213368,3.842187626,3.698189433,4.305888658,14.31714589,-3.151245691,-15.27091043,103,102
A,C,E,H,I,C,F,A,D,H,A,D,H,A,D,H,L,Q,H,L,R,0.073424665,0.005247716,0.977201164,2.020250474,2.932739456,0.97521863,1.290135796,8.292822319,1.641531078,-2.085073469,-28.86312223,104,103
B,D,E,H,I,A,D,A,D,H,A,D,I,B,E,H,L,Q,H,L,P,0.020377058,0.000511739,5.005017155,9.987892492,0.954307307,1.935879058,3.773995528,1.286294683,3.705163279,2.759542301,12.86095566,105,105
A,C,E,H,I,B,E,A,D,H,A,D,H,C,F,H,L,Q,H,L,Q,0.009620565,0.004153323,0.994470241,1.995084118,2.114733481,2.823976275,0.956151349,3.98476967,9.789858811,-17.93891883,-9.651877022,106,105
B,D,E,H,I,C,F,A,D,H,A,D,I,D,G,H,L,Q,H,L,R,-0.048314754,1.58E-05,4.988321692,9.992335293,3.043452343,4.010727709,3.855962905,9.083528833,15.99271495,-13.72924357,-41.6299624,107,107
A,C,E,H,I,A,D,A,D,H,A,D,H,A,D,H,L,Q,H,L,P,-0.010832146,0.006104811,0.995564016,1.98430385,1.201568737,0.979602117,1.189547792,1.024374116,0.825313196,-23.11925584,-4.917435247,108,107
B,D,E,H,I,B,E,A,D,H,A,D,I,B,E,H,L,Q,H,L,Q,-0.070129807,0.003587152,5.018160321,9.988687797,1.946595797,2.029831511,4.097535123,4.007577216,3.810967179,-9.185466643,5.066301907,109,109
A,C,E,H,I,C,F,A,D,H,A,D,H,C,F,H,L,Q,H,L,R,-0.135706191,0.002967389,1.000045053,1.998932502,3.051771425,3.062700334,1.056611089,8.499058586,9.271222569,9.575219797,18.85299714,110,110
B,D,E,H,I,A,D,A,D,H,A,D,I,D,G,H,L,Q,H,L,P,0.028952804,0.003172978,5.00488792,10.00049781,0.89026029,4.004011011,4.033285174,0.750976268,14.77676484,-18.57101708,-32.53897698,111,110
A,C,E,H,I,B,E,A,D,H,A,D,H,A,D,H,L,Q,H,L,Q,0.259606945,0.009819785,1.001837707,2.00484141,1.915571112,0.968659687,0.791811575,3.430003796,0.938028448,-23.92972186,3.595416773,112,112
B,D,E,H,I,C,F,A,D,H,A,D,I,B,E,H,L,Q,H,L,R,0.070185351,0.003206633,4.998277956,9.985010161,2.938797132,1.976985039,3.741433088,8.93232279,3.565592622,-19.08554688,-10.59706587,113,113
A,C,E,H,I,A,D,A,D,H,A,D,H,C,F,H,L,Q,H,L,P,0.135586708,0.022509845,1.015977383,1.993344831,1.012449855,3.004756328,0.965932406,1.304022129,10.00357628,-16.37306681,-10.03091812,114,114
